14:37:09 [INFO] Batch: 10 NCAA D2 teams
14:37:35 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/07 "HTTP/1.1 200 OK"
14:37:35 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/07 "200"
14:37:36 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/08 "HTTP/1.1 200 OK"
14:37:36 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/08 "200"
14:37:36 [INFO]   Fetching scoreboards: 40/113
14:37:36 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/09 "HTTP/1.1 200 OK"
14:37:37 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/09 "200"
14:37:37 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/10 "HTTP/1.1 200 OK"
14:37:37 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/10 "200"
14:37:38 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/11 "HTTP/1.1 200 OK"
14:37:38 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/11 "200"
14:37:38 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/12 "HTTP/1.1 200 OK"
14:37:38 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/12 "200"
14:37:39 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/13 "HTTP/1.1 200 OK"
14:37:39 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/13 "200"
14:37:40 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/14 "HTTP/1.1 200 OK"
14:37:40 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/14 "200"
14:37:41 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/15 "HTTP/1.1 200 OK"
14:37:41 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/15 "200"
14:37:41 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/16 "HTTP/1.1 200 OK"
14:37:41 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/16 "200"
14:37:42 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/17 "HTTP/1.1 200 OK"
